user_id,region
USERC,East
USERM,East
USERLX,North
USERW,South
USERI,South
USERU,South
USERX,East
USERYX,East
USERXN,West
USERMG,East
USERZD,East
USERPQ,East
USERO,South
USERA,South
USERR,East
USERTX,South
USERMS,West
USERG,South
USERSU,West
USERPA,North
USERGU,East
USERRH,South
USERJ,West
USERDS,North
USERF,North
USERAG,South
USERGZ,South
USERKM,North
USERQC,East
USERE,East
USERK,West
USERHD,East
USERDJ,North
USERQS,North
USERIM,North
USERGJ,East
USERIO,West
USERMT,East
USERGP,West
USERUR,East
USERP,North
USERKE,North
USERL,South
USERFY,East
USERCT,East
USERGO,South
USERNJ,North
USERSF,East
USERUF,South
USERES,East
USERN,West
USERIQ,North
USERZ,West
USERB,North
USERYC,South
USERSM,North
USERJG,North
USERKR,South
USERBO,North
USERQD,East
USERMX,South
USERCB,South
USERCS,South
USEREG,West
USERED,West
USERKY,North
USERRS,South
USERUI,North
USERNB,East
USERV,South
USERXF,East
USERGT,North
USERDC,West
USERH,North
USERS,East
USERND,South
USERMR,North
USERON,South
USERKL,West
USERTH,West
USERJK,West
USERYF,South
USERWT,North
USERMF,South
USERQ,South
USERFZ,North
USERKC,West
USERDQ,West
USERZH,North
USERDF,South
USERD,South
USEROE,West
USERCM,East
USERKF,East
USERNI,East
USERHS,South
USERII,South
USERDX,West
USERMK,East
USERML,West
USEROV,West
USERRF,West
USERWU,North
USERAR,East
USEROP,East
USERMC,North
USERWX,North
USERJU,East
USERYA,North
USERRP,West
USEREY,South
USERWL,West
USERRW,East
USERY,North
USERLU,South
USERNV,East
USERRZ,North
USEROI,South
USERSA,South
USERVM,North
USERGK,South
USERVP,East
USERVS,North
USEREU,West
USERKN,East
USERT,East
USERJL,North
USERHQ,North
USEREH,South
USERVF,East
USERCX,South
USERFD,East
USERFO,East
USERFR,West
USERFX,East
USERLP,South
USERCN,South
USERPS,West
USERIV,South
USERUE,North
USERTF,West
USERYQ,South
USERJX,South
USERLT,North
USERKD,West
USERHT,North
USERDH,West
USERDP,West
USERQB,East
USERDG,South
USERRN,South
USERIS,East
USERQG,North
USERCU,East
USERNS,South
USERDZ,South
USEREW,East
USEROA,East
USERGR,East
USERLO,South
USERZG,East
USERUA,East
USERSI,North
USERXR,East
USERXW,South
USERXH,North
USERWZ,West
USERVJ,South
USERFJ,South
USERMU,West
USERAZ,South
USEREC,West
USERUZ,West
USERYH,South
USERSJ,East
USERIB,East
USERLE,West
USERUQ,North
USERQL,West
USERIR,West
USERMQ,West
USERPB,East
USERJQ,East
USERUW,East
USERCD,West
USERRK,North
USERVL,East
USERIW,South
USERKW,South
USERBS,South
USERVA,West
USERID,South
USERTK,West
USERPK,South
USEROH,North
USERDV,West
USERLN,South
USERHH,East
USERAW,West
USERBW,East
USERDA,East
USERYO,East
USERAO,East
USERCA,South
USEROC,South
USERWK,West
USERQK,West
USERFP,West
USERVW,South
USERYW,West
USERLD,East
USERQE,South
USERJS,West
USERVG,East
USERBN,West
USERVH,North
USERDB,West
USERUJ,North
USERHA,West
USERCH,West
USERZI,South
USERBM,South
USERZO,North
USERUV,South
USERFH,East
USEREV,East
USERCY,North
USERNT,East
USERUD,East
USEREQ,West
USERER,South
USERAA,East
USERNL,East
USERWQ,South
USERAB,East
USERAC,East
USERAD,South
