user_id,region
userC,East
userM,East
userLX,North
userW,South
userI,South
userU,South
userX,East
userYX,East
userXN,West
userMG,East
userZD,East
userPQ,East
userO,South
userA,South
userR,East
userTX,South
userMS,West
userG,South
userSU,West
userPA,North
userGU,East
userRH,South
userJ,West
userDS,North
userF,North
userAG,South
userGZ,South
userKM,North
userQC,East
userE,East
userK,West
userHD,East
userDJ,North
userQS,North
userIM,North
userGJ,East
userIO,West
userMT,East
userGP,West
userUR,East
userP,North
userKE,North
userL,South
userFY,East
userCT,East
userGO,South
userNJ,North
userSF,East
userUF,South
userES,East
userN,West
userIQ,North
userZ,West
userB,North
userYC,South
userSM,North
userJG,North
userKR,South
userBO,North
userQD,East
userMX,South
userCB,South
userCS,South
userEG,West
userED,West
userKY,North
userRS,South
userUI,North
userNB,East
userV,South
userXF,East
userGT,North
userDC,West
userH,North
userS,East
userND,South
userMR,North
userON,South
userKL,West
userTH,West
userJK,West
userYF,South
userWT,North
userMF,South
userQ,South
userFZ,North
userKC,West
userDQ,West
userZH,North
userDF,South
userD,South
userOE,West
userCM,East
userKF,East
userNI,East
userHS,South
userII,South
userDX,West
userMK,East
userML,West
userOV,West
userRF,West
userWU,North
userAR,East
userOP,East
userMC,North
userWX,North
userJU,East
userYA,North
userRP,West
userEY,South
userWL,West
userRW,East
userY,North
userLU,South
userNV,East
userRZ,North
userOI,South
userSA,South
userVM,North
userGK,South
userVP,East
userVS,North
userEU,West
userKN,East
userT,East
userJL,North
userHQ,North
userEH,South
userVF,East
userCX,South
userFD,East
userFO,East
userFR,West
userFX,East
userLP,South
userCN,South
userPS,West
userIV,South
userUE,North
userTF,West
userYQ,South
userJX,South
userLT,North
userKD,West
userHT,North
userDH,West
userDP,West
userQB,East
userDG,South
userRN,South
userIS,East
userQG,North
userCU,East
userNS,South
userDZ,South
userEW,East
userOA,East
userGR,East
userLO,South
userZG,East
userUA,East
userSI,North
userXR,East
userXW,South
userXH,North
userWZ,West
userVJ,South
userFJ,South
userMU,West
userAZ,South
userEC,West
userUZ,West
userYH,South
userSJ,East
userIB,East
userLE,West
userUQ,North
userQL,West
userIR,West
userMQ,West
userPB,East
userJQ,East
userUW,East
userCD,West
userRK,North
userVL,East
userIW,South
userKW,South
userBS,South
userVA,West
userID,South
userTK,West
userPK,South
userOH,North
userDV,West
userLN,South
userHH,East
userAW,West
userBW,East
userDA,East
userYO,East
userAO,East
userCA,South
userOC,South
userWK,West
userQK,West
userFP,West
userVW,South
userYW,West
userLD,East
userQE,South
userJS,West
userVG,East
userBN,West
userVH,North
userDB,West
userUJ,North
userHA,West
userCH,West
userZI,South
userBM,South
userZO,North
userUV,South
userFH,East
userEV,East
userCY,North
userNT,East
userUD,East
userEQ,West
userER,South
userAA,East
userNL,East
userWQ,South
userAB,East
userAC,East
userAD,South
